Type,Adjective,Noun,ERP_Code,Note,HEX
"DB","tafisa","L494 Dark Chocolate","https://tafisa.ca/en/our-colours/dark-chocolate","https://tafisa.ca/sites/default/files/styles/medium/public/2020-04/tafisa_L494%28R%29_24X24_72dpi.jpg?itok=xKxs-YPr","#42342B"
"DB","tafisa","L532 Latitude West","https://tafisa.ca/en/our-colours/latitude-west","https://tafisa.ca/sites/default/files/styles/medium/public/2020-04/tafisa_L532%28A%29_24X24_72dpi.jpg?itok=Zxi2wmVw","#3C3731"
"DB","tafisa","M2001 Tête-à-Tête","https://tafisa.ca/en/our-colours/tete-a-tete","https://tafisa.ca/sites/default/files/styles/medium/public/2020-03/tafisa_M2001%28Y%29_24X24_72dpi_0.jpg?itok=mMoKXXal","#504030"
"DB","tafisa","M2035 Black Tie","https://tafisa.ca/en/our-colours/black-tie","https://tafisa.ca/sites/default/files/styles/medium/public/2018-08/M2035%28B%29-Black-Tie_Cravate-Noire_24X24.jpg?itok=-vDdUl_4","#37342F"
"DB","tafisa","M2010 After-Hours","https://tafisa.ca/en/our-colours/after-hours","https://tafisa.ca/sites/default/files/styles/medium/public/2020-03/tafisa_M2010%28Y%29_24X24_72dpi.jpg?itok=axayivs1","#453B37"
"DB","tafisa","PM Camera Obscura","https://tafisa.ca/en/our-colours/camera-obscura","https://tafisa.ca/sites/default/files/styles/medium/public/2020-10/PM835_24X24%20%28Medium%29.jpg?itok=agbrNYDQ","#12110D"
"DB","tafisa","L115 Carte Blanche","https://tafisa.ca/en/our-colours/carte-blanche-1","https://tafisa.ca/sites/default/files/styles/medium/public/2021-07/PMHG115_24X24%20%28Medium%29-Frame_0.png?itok=qUyMkU0c","#FEFEFE"
"DB","tafisa","L115 Carte Blanche","https://tafisa.ca/en/our-colours/carte-blanche-2","https://tafisa.ca/sites/default/files/styles/medium/public/2025-11/pmhg115_24x24_medium-frame_0.png?itok=CUIaqurb","#FEFEFE"
"DB","tafisa","PM115 Carte Blanche","https://tafisa.ca/en/our-colours/carte-blanche","https://tafisa.ca/sites/default/files/styles/medium/public/2023-07/PMHG115_24X24%20%28Medium%29-Frame.png?itok=3Q1ancTi","#FEFEFE"
"DB","tafisa","HG115 Carte Blanche","https://tafisa.ca/en/our-colours/carte-blanche-0","https://tafisa.ca/sites/default/files/styles/medium/public/2023-05/PMHG115_24X24%20%28Medium%29-Frame.png?itok=N5t-reuG","#FEFEFE"
